City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
164,novo cruzeiro,-17.4681,-41.8753,17.79,72,12,0.73,BR,1723150518
165,craig,40.5153,-107.5464,30.72,15,100,6.6,US,1723150519
166,xinyuan,37.3,99.0,4.51,87,12,3.11,CN,1723150521
167,cooper's town,26.8667,-77.5167,29.32,78,64,5.48,BS,1723150522
168,olyokminsk,60.3736,120.4264,15.12,81,28,1.0,RU,1723150523
169,richards bay,-28.783,32.0377,23.58,40,0,5.89,ZA,1723150525
170,udangudi,8.4333,78.0167,27.5,68,100,2.23,IN,1723150527
171,kittila,67.6647,24.8936,14.08,82,0,2.06,FI,1723150528
172,aral,40.5156,81.2636,27.3,24,13,3.76,CN,1723150530
173,pacific grove,36.6177,-121.9166,19.12,91,40,3.58,US,1723150531
174,touros,-5.1989,-35.4608,24.49,81,0,5.96,BR,1723150533
175,sinabang,2.4803,96.3801,26.14,82,99,2.83,ID,1723150534
176,pokrovsk,48.282,37.1758,19.55,48,6,1.4,UA,1723150535
177,canoinhas,-26.1772,-50.39,15.86,96,100,2.21,BR,1723150537
178,harstad,68.799,16.5293,16.21,76,96,1.53,NO,1723150538
179,maham,28.9833,76.3,27.32,87,6,3.69,IN,1723150539
180,astravyets,54.6138,25.9554,18.46,73,100,1.05,BY,1723150541
181,nova vicosa,-17.8919,-39.3719,22.58,69,0,4.07,BR,1723150543
182,conceicao da barra,-18.5933,-39.7322,22.43,74,0,3.69,BR,1723150545
183,qaqortoq,60.7167,-46.0333,6.63,94,100,0.89,GL,1723150546
184,utrik,11.2278,169.8474,28.29,80,96,8.95,MH,1723150547
185,port douglas,-16.4833,145.4667,19.81,85,18,3.01,AU,1723150549
186,punta arenas,-53.15,-70.9167,8.06,76,100,6.17,CL,1723150470
187,kailua-kona,19.6406,-155.9956,28.11,79,40,3.6,US,1723150552
188,fauske,67.2588,15.3918,16.68,77,100,3.06,NO,1723150554
189,west island,-12.1568,96.8225,26.99,83,41,7.2,CC,1723150555
190,weno,7.4515,151.8468,27.97,83,75,0.0,FM,1723150556
191,santa ana,33.7456,-117.8678,29.98,55,20,6.17,US,1723150308
192,masterton,-40.9597,175.6575,8.46,99,100,2.28,NZ,1723150559
193,isangel,-19.55,169.2667,22.36,75,25,5.39,VU,1723150560
194,luau,-10.7073,22.2247,19.71,18,6,2.42,AO,1723150561
195,burang,30.25,81.1667,10.06,83,98,1.33,CN,1723150562
196,letlhakane,-21.4167,25.5833,20.63,20,0,1.96,BW,1723150564
197,namtsy,62.7161,129.6658,13.02,70,43,0.82,RU,1723150565
198,hithadhoo,-0.6,73.0833,27.21,76,100,4.55,MV,1723150569
199,brookings,44.3114,-96.7984,19.0,52,40,9.26,US,1723150346
200,mindelheim,48.05,10.4833,17.8,85,40,0.51,DE,1723150572
201,cova figueira,14.8905,-24.2934,19.94,83,18,2.9,CV,1723150575
202,port lincoln,-34.7333,135.8667,10.85,82,100,2.75,AU,1723150576
203,tralee,52.2704,-9.7026,14.15,91,97,4.05,IE,1723150577
204,yacimiento rio turbio,-51.5732,-72.3508,7.66,58,75,8.23,AR,1723150579
205,belgrade,44.804,20.4651,26.81,56,0,4.12,RS,1723150324
206,aasiaat,68.7098,-52.8699,3.42,93,100,2.02,GL,1723150581
207,inarajan village,13.2736,144.7484,25.44,96,100,3.36,GU,1723150582
208,crane,31.3974,-102.3501,40.04,13,0,5.66,US,1723150584
209,gadzhiyevo,69.2551,33.3362,13.78,58,28,4.61,RU,1723150585
210,sinop,41.7711,34.8709,17.92,88,6,2.44,TR,1723150586
211,ciprian porumbescu,47.5667,26.0667,21.98,65,76,1.25,RO,1723150588
212,north elba,44.2434,-73.9543,22.85,61,73,3.57,US,1723150589
213,chernyshevsk,52.5243,117.0174,13.34,83,36,0.11,RU,1723150590
214,klaksvik,62.2266,-6.589,11.11,85,51,4.09,FO,1723150592
215,pando,-34.7167,-55.95,7.05,87,75,2.57,UY,1723150593
216,minas de marcona,-15.2119,-75.1103,13.07,73,34,7.79,PE,1723150594
